,식당명,행정구역,도로명 주소,lat,lon,식당 설명,영업 시간,top_category,sub_category
266,봄날 칼국수 보리밥,강화군,인천광역시 강화군 강화동로 113,37.64955539,126.4922548,"봄날 칼국수 보리밥은 강화군 온수리 시내에서 강화읍 방면 길직2리 마을회관 인근에 있다. 매장 앞에 큰 주차장이 있어 차량으로 이동 시 편리하다. 이곳은 손 반죽 홍두깨로 밀어 썬 칼국수와 직접 담은 3년 이상 된 된장과 함께 나가는 강화 특산물과 쑥가루로 비벼 먹는 보리밥상을 선보이고 있는 식당이다. 건물은 벽돌 단독 건물이다. 가정집처럼 되어 들어가자마자 홀이 보이고 홀을 가운데 두고 방이 여러 개 있다. 메뉴는 칼국수나물정식, 약쑥나물보리밥, 수제돈가스, 해물손칼국수이다. 이용객들 눈요기용으로 귀여운 타조와 예쁜 꽃, 누구나 이용할 수 있는 다트게임기가 마련되어 있다. 식당 인근에는 강화씨사이드리조트, 강화광성보, 조양방직카페, 평화전망대, 종양방직 등이 있어 연계 관광을 할 수 있다.",10:30~20:00,한식,면
267,러시아식당 바이칼,미추홀구,인천광역시 미추홀구 경인남길30번길 38,37.45185629,126.6565036,인천에서 만날 수 있는 러시아 식당 바이칼은 러시아 본토 음식을 맛볼 수 있다. <br>건물 내에는 러시아 지방의 식당과 비슷한 느낌의 인테리어가 반겨준다. 다양한 러시아 음식의 메뉴가 준비되어 있어 기호에 맞게 메뉴를 선택하면 된다. 특히 식당의 셰프 또한 한국어를 매우 잘해 음식에 대해 물어볼 수 있어 메뉴 선택에 어려움이 없을 것이다.,10:00~22:00,한식,탕
268,흥부골숯불갈비,강화군,인천광역시 강화군 중앙로874번길 1 강화사자밭약쑥체험장,37.69698476,126.423357,"흥부골숯불갈비는 강화도 양도면 인산 1리 마을회관 인근에 있다. 매장 앞 주차장이 넓어 승용차로 방문 시 편리하다. 이곳은 강화 현지인도 추천하는 왕갈비탕과 숯불갈비 맛집이다. 신발을 벗고 입장해야 하는 내부는 4인 테이블을 기본으로 20여 석이 있어 가족모임이나 단체 회식이 가능하다. 메뉴는 소갈비, 돼지왕갈비, 돼지갈비, 갈비탕, 비빔냉면, 물냉면 등이 있다. 밑반찬으로 열무김치, 청포묵 무침, 감자샐러드, 상추무침, 마카로니샐러드, 양파슬라이스 간장소스, 겉절이, 양념게장, 된장찌개, 쌈 등이 푸짐하게 나온다. 식당 인근에 인산저수지, 계암산, 외포항 등이 있어 연계 관광을 할 수 있다.",매일 10:30 ~ 20:30,한식,밥류
269,바닐라베이,서구,인천광역시 서구 청라커낼로 327,37.5379294,126.6444106,"바닐라베이는 인천 서구 청라커낼로 청람초등학교 맞은편에 있다. 주차는 건물 뒤쪽에 가능하다. 이곳은 당일 직접 만든 홈메이드 빵을 판매하는 베이커리 카페다. 프리미엄 버터와 동물성 생크림을 사용한다. 달지 않고 담백한 디저트와 맛있는 커피를 즐길 수 있다. 건물 내부는 아이보리 톤의 따뜻한 느낌이 가득하다. 천장이 높아 매장이 답답하지 않고 편안한 느낌을 준다. 아기자기한 소품들도 많이 있다. 대표 메뉴로는 소금 빵, 흑임자 라테가 있다. 이외 치즈프레첼, 플레인스콘, 에그마요햄치즈샌드위치 등이 있다. 카페 인근에는 청라중앙호수공원, 캠핑장, 골프장 등이 있어 연계 관광을 할 수 있다.",- 화~금요일  8:30 ~ 17:00<br>- 토~일요일 9:00 ~ 17:00,기타,패스트푸드
270,희소식,강화군,인천광역시 강화군 중앙로413번길 6 희소식,37.71430019,126.4679302,"희소식은 인천 강화도 신원면 한적한 시골에 위치한 카페이다. 예쁜 정원이 꾸며져 있고, 이 정원에서 반려동물과 산책을 할 수 있다. 카페는 한옥을 리모델링한 형태로, 잘 꾸며진 시골집을 방문한 느낌이 드는 곳이다. 실내 곳곳에 테이블이 마련되어 있고 야외 정자에도 테이블이 있다. 공간이 넓고 야외 자리도 넉넉해서 여유 있게 얘기를 나누거나 커피를 즐길 수 있다. 메뉴는 다양한 커피와 티, 라떼, 에이드, 디저트 등으로 구성되어 있으며, 그중에서도 희소식의 시그니처 메뉴는 쑥스크림라떼와 쑥소프트아이스크림이다.",[하절기] 11:00~19:00<br>라스트오더 18:30 <br>[동절기(11~3월)] 11:00~18:00,디저트,카페/빵
271,모밀촌,남동구,인천광역시 남동구 용천로 148,37.46285604,126.7146285,"인천 간석동에 위치한 모밀전문점이다. 가게 안은 아담한 편이다. 혼밥 할 수 있는 자리와 4명이 앉을 수 있는 테이블이 4개 있다. 메뉴는 냉모밀, 모밀소바, 비빔모밀, 김치/온모밀 등이 있다. 양이 푸짐하고 저렴한 가격으로 가성비 맛집이다. 모밀육수는 사장님이 직접 배합하여 수제로 만들어 깔끔하며 깊은 감칠맛을 느낄 수 있다.",월~금 10:30 ~ 20:00<br>토 10:00~22:00,일식,면
272,송도아트리움,연수구,인천광역시 연수구 청량로97번길 56,37.41547713,126.6534854,"인천 송도 유원지 인근에 있는 아름다운 정원과 루프탑을 갖춘 대형 갤러리 카페로, 커피와 디저트, 와인을 판매하고 있으며, 다양한 전시와 행사가 열리는 곳이다. 정문 입구 돌계단을 올라가면 넓은 정원에 야외 테이블 좌석들이 준비되어 있고, 넓고 개방감 좋은 실내 공간에는 갤러리 카페인만큼 곳곳에 작품들이 전시되어 있으며 곳곳에 사진 찍기 좋게 포토존을 마련해 놓았다. 잘 꾸며진 야외와 실내 공간은 KBS <단 하나의 사랑>, JTBC 드라마 <보좌관>,  MBN <우아한 가>, KBS2 <사랑은 뷰티풀 인생은 원더풀> 등 다양한 드라마와 영화 촬영지로도 이용되었다.",12:00~21:00,디저트,카페/빵
273,오두돈대숯불장어,강화군,인천광역시 강화군 불은면 해안동로 714,37.68179377,126.5187987,오두돈대숯불장어는 강화군 불은면 해안동로에 자리한 장어구이 전문점이다. 주차장이 넓어 많은 사람들을 수용할 수 있고 음식점의 외관은 고즈넉한 한옥채이다. 모두 통창으로 되어있어 음식점 내부의 전좌석에서 바다경치를 즐길 수 있다. 대표 메뉴인 장어구이는 민물장어 갯벌장어로 구분되어 있고 직접 재배한 야채를 사용한다.,11:00~21:00,한식,장어
274,송도명동칼국수 아트포레점,연수구,인천광역시 연수구 인천타워대로 257,37.39385706,126.6332379,"2015년 개업한 송도 명동칼국수는 매일 아침 직접 제면하고 겉절이 김치를 만들어서 판매하는 음식점이다. 송도 명동칼국수만의 고유 레시피로 다른 칼국수 보다 특별한 맛을 내는 것이 특징이다. 고기 육수 베이스에 볶은 채소와 고기 고명을 올린 명동칼국수가 대표 메뉴이며, 명동보리밥, 만둣국, 보쌈, 만두전골, 전도 판매한다. 테이블이 많지 않지만 창가 쪽에 자리할 경우 넓은 창을 통해 인천 센트럴파크를 감상할 수 있다. 인천 1호선 센트럴파크역 2번 출구에서 도보로 1분 거리에 위치해 있다.",10:00 ~ 22:00,한식,면
275,미도방만두,서구,인천광역시 서구 서곶로 355,37.54933976,126.676749,"인천 서구 연희동에 있는 미도방만두는 직접 만든 만두만 판매한다. SBS <생활의 달인(789회)>에 ‘만두 달인’으로 소개된 이후 더욱 유명해진 분식점이다. 10가지 재료를 넣어 정성스럽게 빚은 김치만두와 고기만두를 판매하고 있으며, 쫄깃한 만두피의 식감과 만두소의 궁합이 일품이다. 매장 입구에는 35년 전통 손 만두 전문점이라고 적혀 있으며 방송 소개 전에도 이미 인천 시민들 사이에서는 인생 만둣집으로 이름나 있었다. 방송 출연 이후 손님이 더욱더 많아져서 1인당 고기만두, 김치만두 각각 1인분씩만 구매하도록 제한하고 있다. 일요일은 휴무이며 재료 소진 시에는 영업을 종료한다.",10:30~21:00<br>※ 재료 소진 시 마감,한식,기타
